acptno,회사명,공시제목,해제예정일,T5_배수,T15_배수
20260519000598,아이로보틱스,투자경고종목지정,2026-06-04,1.6,2.0
20260519000596,한선엔지니어링,투자경고종목지정,2026-06-04,1.45,1.75
20260518000873,에스에이엠티,투자경고종목지정,2026-06-02,1.6,2.0
20260518000872,소룩스,투자경고종목지정,2026-06-02,1.6,2.0
20260515003001,사토시홀딩스,투자경고종목지정,2026-06-01,1.6,2.0
20260514001607,민테크,투자경고종목지정,2026-05-29,1.6,2.0
20260514001610,TPC로보틱스,투자경고종목지정,2026-05-29,1.6,2.0
20260514001609,네오티스,투자경고종목지정,2026-05-29,1.45,1.75
20260514001608,미래반도체,투자경고종목지정,2026-05-29,1.6,2.0
20260513001029,디케이티,투자경고종목지정,2026-05-28,1.45,1.75
20260513001028,한울반도체,투자경고종목지정,2026-05-28,1.6,2.0
20260513001032,피델릭스,투자경고종목지정,2026-05-28,1.6,2.0
20260513001030,제주반도체,투자경고종목지정,2026-05-28,1.45,1.75
20260513001027,에스비비테크,투자경고종목지정,2026-05-28,1.45,1.75
20260512000938,대한광통신,투자경고종목지정,2026-05-27,1.45,1.75
20260511001004,유진테크,투자경고종목지정,2026-05-26,1.45,1.75
20260511001001,다원넥스뷰,투자경고종목지정,2026-05-26,1.6,2.0
20260511001005,HB테크놀러지,투자경고종목지정,2026-05-26,1.6,2.0
20260511001003,아스플로,투자경고종목지정,2026-05-26,1.6,2.0
20260511001002,에이팩트,투자경고종목지정,2026-05-26,1.45,1.75
20260508001161,해성옵틱스,투자경고종목지정,2026-05-22,1.6,2.0
20260508001162,아진엑스텍,투자경고종목지정,2026-05-22,1.6,2.0
20260508001160,와이제이링크,투자경고종목지정,2026-05-22,1.6,2.0
20260508001159,한국피아이엠,투자경고종목지정,2026-05-22,1.45,1.75
20260507000834,브이엠,투자경고종목지정,2026-05-21,1.45,1.75
20260506001086,네패스,투자경고종목지정,2026-05-20,1.45,1.75
20260506001082,한빛레이저,투자경고종목지정,2026-05-20,1.6,2.0
20260506001085,오르비텍,투자경고종목지정,2026-05-20,1.45,1.75
20260506001084,엘티씨,투자경고종목지정,2026-05-20,1.45,1.75
20260506001083,에이프로,투자경고종목지정,2026-05-20,1.6,2.0
20260504000753,KBI메탈,투자경고종목지정,2026-05-19,1.6,2.0
20260504000751,오름테라퓨틱,투자경고종목지정,2026-05-19,1.45,1.75
20260430001704,우리로,투자경고종목지정,2026-05-18,1.6,2.0
20260430001703,서울바이오시스,투자경고종목지정,2026-05-18,1.6,2.0
20260430001702,라이콤,투자경고종목지정,2026-05-18,1.6,2.0
20260429001119,이오테크닉스,투자경고종목지정,2026-05-15,1.45,1.75
20260429001117,CSA 코스믹,투자경고종목지정,2026-05-15,1.6,2.0
20260429001116,오가닉티코스메틱,투자경고종목지정,2026-05-15,1.6,2.0
20260429001115,빛과전자,투자경고종목지정,2026-05-15,1.6,2.0
20260429001114,코세스,투자경고종목지정,2026-05-15,1.45,1.75
20260429001113,THE E&M,투자경고종목지정,2026-05-15,1.45,1.75
20260428000952,피엠티,투자경고종목지정,2026-05-14,1.6,2.0
20260428000951,앤로보틱스,투자경고종목지정,2026-05-14,1.6,2.0
20260428000950,이노인스트루먼트,투자경고종목지정,2026-05-14,1.6,2.0
20260428000949,조이웍스앤코,투자경고종목지정,2026-05-14,1.6,2.0
20260427000940,케어젠,투자경고종목지정,2026-05-13,1.45,1.75
20260427000939,파이온엑스,투자경고종목지정,2026-05-13,1.6,2.0
20260424000966,기가레인,투자경고종목지정,2026-05-12,1.6,2.0
20260424000965,핑거,투자경고종목지정,2026-05-12,1.6,2.0
20260424000964,바이젠셀,투자경고종목지정,2026-05-12,1.6,2.0
20260424000963,코스텍시스,투자경고종목지정,2026-05-12,1.6,2.0
20260423000818,,미래에셋벤처투자,2026-05-11,1.6,2.0
20260423000817,한국첨단소재,투자경고종목지정,2026-05-11,1.6,2.0
20260423000816,두산테스나,투자경고종목지정,2026-05-11,1.45,1.75
20260422000601,주성엔지니어링,투자경고종목지정,2026-05-08,1.6,2.0
20260422000598,테스,투자경고종목지정,2026-05-08,1.45,1.75
20260422000597,저스템,투자경고종목지정,2026-05-08,1.45,1.75
20260421000733,원익IPS,투자경고종목지정,2026-05-07,1.45,1.75
20260421000734,비츠로셀,투자경고종목지정,2026-05-07,1.45,1.75
